pair;round;nrTurns;success
110;5;1;false
111;0;2;true
111;1;1;true
111;2;4;false
111;3;7;false
111;4;3;true
111;5;7;true
112;0;3;true
112;1;7;true
112;2;7;true
112;3;5;false
112;4;1;false
112;5;1;false
113;0;2;true
113;1;1;true
113;2;3;true
113;3;1;true
113;4;7;true
113;5;7;false
114;0;4;true
114;1;1;false
114;2;2;true
114;3;7;false
114;4;7;false
114;5;3;false
115;0;4;true
115;1;7;false
115;2;7;false
115;3;4;false
115;4;1;false
115;5;1;false
116;0;5;true
116;1;7;false
116;2;1;true
116;3;7;false
116;4;3;true
116;5;2;true
117;0;2;true
117;1;1;true
117;2;1;true
117;3;1;true
117;4;1;true
117;5;1;true
118;0;7;false
118;1;7;true
118;2;7;false
118;3;1;false
118;4;1;false
118;5;1;true
119;0;2;true
119;1;1;true
119;2;1;true
119;3;1;true
119;4;1;false
119;5;1;true
120;0;3;true
120;1;1;true
120;2;7;false
120;3;7;false
120;4;5;false
120;5;1;true
121;0;7;true
121;1;7;false
121;2;7;true
121;3;2;true
121;4;1;false
121;5;1;true
122;0;4;true
122;1;2;true
122;2;7;false
122;3;7;false
122;4;3;true
122;5;1;false
123;0;3;true
123;1;7;false
123;2;3;true
123;3;1;true
123;4;1;true
123;5;1;true
124;0;3;true
124;1;2;true
124;2;3;false
124;3;2;true
124;4;7;false
124;5;7;true
125;0;3;true
125;1;1;true
125;2;1;true
125;3;1;true
125;4;7;true
125;5;7;true
126;0;3;true
126;1;2;true
126;2;4;true
126;3;1;true
126;4;1;true
126;5;1;false
127;0;7;false
127;1;7;true
127;2;7;true
127;3;1;true
127;4;1;true
127;5;1;true
128;0;7;true
128;1;7;true
128;2;7;true
128;3;1;false
128;4;1;true
128;5;1;false
129;0;2;true
129;1;1;true
129;2;1;true
129;3;5;true
129;4;7;false
129;5;7;false
130;0;2;true
130;1;1;true
130;2;1;true
130;3;1;true
130;4;1;false
130;5;1;true
131;0;2;true
131;1;3;true
131;2;4;false
131;3;2;false
131;4;7;true
131;5;7;false
132;0;2;true
132;1;1;false
132;2;1;false
132;3;1;false
132;4;1;false
132;5;1;true
133;0;2;true
133;1;7;false
133;2;7;false
133;3;6;true
133;4;1;false
133;5;1;false
134;0;2;true
134;1;1;true
134;2;1;true
134;3;2;true
134;4;1;true
134;5;1;true
135;0;2;true
135;1;7;false
135;2;7;false
135;3;6;true
135;4;1;false
135;5;1;false
136;0;3;true
136;1;1;true
136;2;2;true
136;3;1;true
136;4;3;true
136;5;1;false
137;0;7;false
137;1;5;true
137;2;7;true
137;3;3;false
137;4;1;false
137;5;1;true
138;0;2;true
138;1;5;true
138;2;3;true
138;3;2;true
138;4;1;true
138;5;2;true
139;0;2;true
139;1;4;true
139;2;7;false
139;3;7;false
139;4;3;true
139;5;1;false
140;0;3;true
140;1;1;true
140;2;7;true
140;3;7;true
140;4;5;false
140;5;1;true
141;0;4;true
141;1;7;false
141;2;7;false
141;3;4;false
141;4;1;false
141;5;1;true
142;0;2;true
